Date,Price
2020/12/17,98.199966
2020/12/18,98.559128
2020/12/21,99.078972
2020/12/22,98.237785
2020/12/23,98.067657
2020/12/24,100.156418
2020/12/28,100.326538
2020/12/29,99.76889
2020/12/30,102.925667
2020/12/31,103.057991
2021/1/4,105.572052
2021/1/5,106.583359
2021/1/6,109.26757
2021/1/7,114.768257
2021/1/8,112.178589
2021/1/11,115.874084
2021/1/12,116.252129
2021/1/13,112.688965
2021/1/14,119.512856
2021/1/15,118.359787
2021/1/19,124.096779
2021/1/20,123.473
2021/1/21,126.799927
2021/1/22,122.05529
2021/1/25,123.359573
2021/1/26,119.701897
2021/1/27,115.061249
2021/1/28,118.92688
2021/1/29,114.85331
2021/2/1,119.711349
2021/2/2,121.393677
2021/2/3,120.505264
2021/2/4,121.119606
2021/2/5,120.769905
2021/2/8,125.278214
2021/2/9,125.40107
2021/2/10,126.355667
2021/2/11,131.525589
2021/2/12,130.485931
2021/2/16,132.36676
2021/2/17,128.794128
2021/2/18,127.244102
2021/2/19,129.16272
2021/2/22,126.242256
2021/2/23,122.017487
2021/2/24,125.041916
2021/2/25,119.087555
2021/2/26,119.030846
2021/3/1,122.045837
2021/3/2,119.087555
2021/3/3,116.148163
2021/3/4,109.24865
2021/3/5,114.172829
2021/3/8,107.679733
2021/3/9,109.995308
2021/3/10,107.585205
2021/3/11,113.964897
2021/3/12,111.809975
2021/3/15,112.54718
2021/3/16,112.802383
2021/3/17,112.667671
2021/3/18,108.626198
2021/3/19,107.800819
2021/3/22,111.168709
2021/3/23,108.996178
2021/3/24,103.370384
2021/3/25,104.783958
2021/3/26,110.580505
2021/3/29,108.521835
2021/3/30,109.166962
2021/3/31,112.21228
2021/4/1,118.397797
2021/4/5,118.113197
2021/4/6,116.158875
2021/4/7,113.739685
2021/4/8,117.098091
2021/4/9,116.500412
2021/4/12,114.697868
2021/4/13,115.048897
2021/4/14,114.640953
2021/4/15,112.278687
2021/4/16,112.743546
2021/4/19,109.480042
2021/4/20,109.053101
2021/4/21,111.377426
2021/4/22,109.404137
2021/4/23,112.553802
2021/4/26,115.286079
2021/4/27,115.048897
2021/4/28,113.521492
2021/4/29,112.990211
2021/4/30,110.751274
2021/5/3,109.992332
2021/5/4,109.44207
2021/5/5,109.46106
2021/5/6,110.997948
2021/5/7,110.83667
2021/5/10,106.548531
2021/5/11,107.060844
2021/5/12,102.658875
2021/5/13,103.171165
2021/5/14,106.690834
2021/5/17,104.167305
2021/5/18,105.153946
2021/5/19,106.633926
2021/5/20,107.468788
2021/5/21,106.112144
2021/5/24,107.800819
2021/5/25,108.41748
2021/5/26,110.049248
2021/5/27,109.831032
2021/5/28,111.339478
2021/6/1,112.430481
2021/6/2,112.8479
2021/6/3,110.827179
2021/6/4,113.379189
2021/6/7,112.155365
2021/6/8,109.973351
2021/6/9,111.121269
2021/6/10,112.174332
2021/6/11,112.183815
2021/6/14,114.783257
2021/6/15,113.322266
2021/6/16,111.96563
2021/6/17,113.442696
2021/6/18,110.271416
2021/6/21,108.700035
2021/6/22,108.880997
2021/6/23,110.519012
2021/6/24,111.652298
2021/6/25,110.976143
2021/6/28,113.90934
2021/6/29,114.499802
2021/6/30,114.433144
2021/7/1,112.776047
2021/7/2,113.242714
2021/7/6,114.328377
2021/7/7,112.614151
2021/7/8,112.252266
2021/7/9,114.814064
2021/7/12,116.785416
2021/7/13,117.994881
2021/7/14,118.461525
2021/7/15,111.928467
2021/7/16,110.223785
2021/7/19,109.852379
2021/7/20,110.852325
2021/7/21,112.252266
2021/7/22,111.0047
2021/7/23,111.22374
2021/7/26,110.138077
2021/7/27,108.128647
2021/7/28,109.585732
2021/7/29,110.614258
2021/7/30,111.080894
2021/8/2,111.290413
2021/8/3,112.766533
2021/8/4,113.080803
2021/8/5,113.537926
2021/8/6,112.576073
2021/8/9,112.585594
2021/8/10,110.81424
2021/8/11,110.461868
2021/8/12,110.185699
2021/8/13,109.995224
2021/8/16,109.166687
2021/8/17,105.814461
2021/8/18,105.185905
2021/8/19,105.252579
2021/8/20,102.966972
2021/8/23,105.671608
2021/8/24,106.766792
2021/8/25,111.452301
2021/8/26,112.471313
2021/8/27,112.84272
2021/8/30,113.318893
2021/8/31,113.337936
2021/9/1,114.718842
2021/9/2,115.033112
2021/9/3,118.061562
2021/9/7,118.756752
2021/9/8,116.080673
2021/9/9,116.833031
2021/9/10,117.109207
2021/9/13,117.728233
2021/9/14,117.22348
2021/9/15,115.709267
2021/9/16,115.505585
2021/9/17,112.598579
2021/9/20,109.682022
2021/9/21,109.930634
2021/9/22,110.800819
2021/9/23,111.106827
2021/9/24,110.580902
2021/9/27,111.068581
2021/9/28,107.004524
2021/9/29,106.736763
2021/9/30,106.765457
2021/10/1,106.679375
2021/10/4,104.250496
2021/10/5,104.480019
2021/10/6,104.556503
2021/10/7,105.981331
2021/10/8,105.225891
2021/10/11,105.436264
2021/10/12,104.422615
2021/10/13,105.168518
2021/10/14,107.635651
2021/10/15,109.835022
2021/10/18,110.294014
2021/10/19,111.84314
2021/10/20,110.533081
2021/10/21,111.202461
2021/10/22,109.23259
2021/10/25,108.668388
2021/10/26,109.184776
2021/10/27,108.773582
2021/10/28,110.934715
2021/10/29,108.725769
2021/11/1,109.127396
2021/11/2,109.117821
2021/11/3,109.022209
2021/11/4,112.636841
2021/11/5,112.646408
2021/11/8,115.620338
2021/11/9,116.452278
2021/11/10,113.028893
2021/11/11,113.019325
2021/11/12,113.497467
2021/11/15,112.952393
2021/11/16,112.914162
2021/11/17,113.851257
2021/11/18,117.991829
2021/11/19,118.823784
2021/11/22,119.292343
2021/11/23,116.050652
2021/11/24,115.429085
2021/11/26,111.967453
2021/11/29,114.061638
2021/11/30,112.024849
2021/12/1,115.35257
2021/12/2,116.375763
2021/12/3,114.109459
2021/12/6,113.927773
2021/12/7,116.968651
2021/12/8,116.47139
2021/12/9,114.272026
2021/12/10,113.918198
2021/12/13,111.326759
2021/12/14,111.202461
2021/12/15,115.13266
2021/12/16,111.931313
2021/12/17,111.691261
2021/12/20,110.36618
2021/12/21,112.766701
2021/12/22,116.473099
2021/12/23,115.877762
2021/12/27,117.817383
2021/12/28,117.202835
2021/12/29,116.57872
2021/12/30,115.628105
2021/12/31,115.522491
2022/1/3,123.674652
2022/1/4,128.091583
2022/1/5,122.003876
2022/1/6,123.357773
2022/1/7,118.585548
2022/1/10,120.035461
2022/1/11,124.029915
2022/1/12,126.968132
2022/1/13,133.651215
2022/1/14,135.062698
2022/1/18,128.504486
2022/1/19,125.796692
2022/1/20,123.223351
2022/1/21,119.574547
2022/1/24,120.947662
2022/1/25,117.60614
2022/1/26,118.182266
2022/1/27,111.748871
2022/1/28,112.929939
2022/1/31,117.750168
2022/2/1,118.153465
2022/2/2,119.209686
2022/2/3,115.07119
2022/2/4,116.204239
2022/2/7,117.442902
2022/2/8,118.787201
2022/2/9,120.525169
2022/2/10,119.747391
2022/2/11,116.194641
2022/2/14,115.003967
2022/2/15,119.564957
2022/2/16,118.681572
2022/2/17,114.99437
2022/2/18,114.562271
2022/2/22,112.257797
2022/2/23,111.287971
2022/2/24,107.427948
2022/2/25,106.80381
2022/2/28,102.751747
2022/3/1,103.750359
2022/3/2,105.248276
2022/3/3,104.460907
2022/3/4,100.879333
2022/3/7,95.338936
2022/3/8,96.020676
2022/3/9,100.773705
